sub_id,betaCol_1,betaCol_2,betaMot_1,betaMot_2,col_1,col_2,col_3,col_4,mot_1,mot_2,mot_3,mot_4,pedaldist,col_p_c_r,col_coh,mot_p_c_r,mot_coh,S
1,-4.07400916934621,9.09352785574872,-0.207691049510677,5.33652665646206,0,0.299,0.597,0.896,-0.725,-0.216,0.293,0.802,2.31053304280724e-05,"[0,0.04,0.24,0.52,0.44,0.6,0.88,0.8,0.92,0.84,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0.04,0.04,0.24,0.2,0.2,0.56,0.56,0.72,0.88,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[2.3105330428041526E-5,0.087231357157136369,0.91276864284286363,0.999976894669572]"
2,-3.41397688095009,6.96230703646127,-0.0173754242704103,3.69249855671442,0,0.327,0.654,0.981,-0.92,-0.303,0.313,0.929,0.000320110040747858,"[0,0.04,0.16,0.28,0.44,0.56,0.6,0.76,0.64,0.88,0.88,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0.04,0,0.12,0.24,0.44,0.52,0.48,0.4,0.64,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.00032011004074783411,0.12756185012840748,0.87243814987159252,0.99967988995925217]"
3,-7.44177500980351,15.0309767616475,0.100281702342083,8.92274466347982,0,0.33,0.66,0.99,-0.845,-0.289,0.267,0.823,4.96706573851518e-14,"[0,0,0.08,0.12,0.28,0.36,0.72,0.76,0.92,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.12,0.2,0.52,0.72,0.84,0.92,0.92,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[4.96269692007445E-14,0.0065578703007521666,0.99344212969924783,0.99999999999995037]"
4,-4.9127225478853,9.83258125136679,0.140089512841195,3.78157907646208,0.129,0.376,0.623,0.87,-1,-0.358,0.284,0.926,0.000135532557915916,"[0,0,0.16,0.32,0.24,0.52,0.56,0.68,0.6,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0.08,0.04,0,0.12,0.28,0.36,0.88,0.72,0.8,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.00013553255791587393,0.11240635169149593,0.88759364830850407,0.99986446744208413]"
5,-3.65509757209742,7.56831536860669,0.406131814091431,7.01104322886958,0,0.322,0.644,0.966,-0.579,-0.232,0.116,0.463,0.000128542091895569,"[0,0,0.2,0.48,0.6,0.4,0.6,0.72,0.64,0.76,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.12,0.24,0.52,0.64,0.64,0.8,0.92,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.0001285420918956115,0.11154248682847112,0.88845751317152888,0.99987145790810439]"
6,-6.39175753746762,11.098215477564,0.0764876841215594,7.98220572990961,0.152,0.435,0.717,1,-0.599,-0.206,0.187,0.58,1.26028980118598e-06,"[0,0,0.04,0,0.08,0.16,0.24,0.48,0.28,0.84,0.92,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.04,0.12,0.36,0.4,0.6,0.8,0.88,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.2602898011859764E-6,0.058345023431870313,0.94165497656812969,0.99999873971019881]"
7,-7.33353888261249,15.4573248476938,0.706298256269834,11.8263906042027,0,0.316,0.633,0.949,-0.68,-0.266,0.147,0.56,1.12076704073231e-13,"[0,0,0.08,0.36,0.4,0.48,0.68,0.88,0.92,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.04,0.24,0.36,0.56,0.88,0.96,1,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.1202150318467829E-13,0.007252172319063166,0.99274782768093683,0.999999999999888]"
8,-3.05667137016066,6.49935581662992,0.41653238157719,4.99270267112672,0,0.314,0.627,0.941,-0.696,-0.288,0.121,0.529,0.0011190475202552,"[0.04,0,0.16,0.4,0.36,0.52,0.6,0.8,0.8,0.96,1,0.96]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0.04,0.16,0.36,0.56,0.52,0.8,0.8,0.88,1,0.96,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.0011190475202551564,0.15412748742291582,0.84587251257708418,0.99888095247974484]"
9,-10.114237570222,20.4673130492446,-0.0796092587918163,9.04389932475781,0,0.362,0.627,1,-1,-0.291,0.308,1,2.22044604925031e-16,"[0,0,0,0.24,0.16,0.32,0.76,0.84,0.88,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.08,0.16,0.48,0.64,0.72,0.84,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[2.2204460492503131E-16,0.0033780796466662544,0.99662192035333375,0.99999999999999978]"
10,-6.64598112120331,13.0060078400115,-0.066082647932828,16.2294610141436,0.022,0.348,0.674,1,-0.388,-0.127,0.135,0.396,1.00859320895097e-10,"[0,0,0.12,0.2,0.2,0.16,0.56,0.6,0.88,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.04,0.08,0.2,0.72,0.92,0.96,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.0085932089509697E-10,0.017002646936198351,0.98299735306380165,0.99999999989914068]"
