Row,<-- | gg,<- | gg,-> | gg,--> | gg,<-- |  g,<- |  g,-> |  g,--> |  g,<-- |  r,<- |  r,-> |  r,--> |  r,<-- | rr,<- | rr,-> | rr,--> | rr
<-- | gg,-1.55211271044711,-0.851565655472268,-0.524025268566507,-0.159934032621868,-0.469619282667677,0.0754714699073545,0.400293402817504,0.441727921301336,0.0303199170207436,0.398517588593755,0.710699280936898,0.596105709023909,0.245461119715632,0.672339995328876,0.907087003734492,0.940867472675101
<- | gg,-0.989666883834196,-1.31425726255822,-1.04092112901279,-0.21284941681794,0.0203941055725222,-0.398789012781451,0.0514335359521501,0.446537592010411,0.367530739453709,0.215870242013121,0.394396921212995,0.751004756198336,0.528933370983565,0.316819712252989,0.636529958301747,1.05884100254679
-> | gg,-0.331941356742941,-0.966565079265976,-1.4574129532853,-0.82436336863345,0.287802213542433,0.0276862700223613,-0.257946453681452,0.101199548422639,0.665068004616347,0.450768875275577,0.199530139540486,0.507058303016815,0.950534054135169,0.612262840651602,0.336663517248511,0.738077624337214
--> | gg,-0.120130726611384,-0.349686691531392,-0.754387315097377,-1.4667968031125,0.356221128523178,0.397303959147508,0.0716415460195431,-0.312624359909048,0.739656955636639,0.663806114435583,0.55639861772437,-0.00294173858703051,0.962125713258374,0.865741207904,0.628716126568385,0.282415834963125
<-- |  g,-0.300778983800309,0.247013490391448,0.638089813439826,0.548337482427323,-1.36316233991707,-0.484984798505152,-0.0176407537580287,0.063216332383632,-0.920142356259272,-0.253978025255529,0.0654856375178704,0.190109123600078,-0.0661708650838158,0.56999565938372,0.704071509454657,0.683527936021084
<- |  g,0.113160686789923,-0.136105972191778,0.269101239739664,0.55427959282518,-0.579667736683492,-1.16336741223989,-0.59391794832852,0.149785456843489,-0.414923756367361,-0.800809408162767,-0.278732715403424,0.171215432923507,0.49386604534126,0.235524172353167,0.475975651297142,0.76422098525306
-> |  g,0.575527829517401,0.241743898556024,-0.0139939487865221,0.249079053476275,-0.0650779113804603,-0.585300028629273,-1.19275006387328,-0.54599261599305,0.0273149735022215,-0.438341456695777,-0.815588984721302,-0.248748900307689,0.633545605806892,0.456330255130606,0.333196817004855,0.422912559520751
--> |  g,0.519808803952801,0.647077331423523,0.405841428847458,-0.153609708907623,-0.0158166267656049,-0.134147866164194,-0.403687691772976,-1.29084999359471,0.0988584929847873,0.0969847130940447,-0.199197476426507,-0.914438619830788,0.583013591623779,0.759824316909416,0.522149830524801,0.0676597833991424
<-- |  r,0.0900796143298451,0.558790378015503,0.789452341918433,0.906508031810568,-0.867637185145251,-0.14443401742054,0.0509179903180225,0.282197422737028,-1.31616473102783,-0.466122418624416,-0.0641030199494356,0.0317503336904154,-0.459095675615685,0.121345346896675,0.440084087626812,0.406187682648812
<- |  r,0.450136120089509,0.164471488383271,0.498011735246386,0.848994604343235,-0.335754964548618,-0.788328976674611,-0.220744482408734,0.240320657984885,-0.661136842236634,-1.15710632941206,-0.516563965800846,-0.0137341419651375,-0.0763152811051326,-0.401371249741965,0.056329979594683,0.508041925181922
-> |  r,0.734422811614217,0.561355630077745,0.172781201570712,0.55045921063983,0.128627433568824,-0.285647453659982,-0.673951746322607,-0.359552480112794,-0.0426454245730006,-0.658541878620631,-1.16249428404287,-0.50869698393545,0.399207174771026,0.0167730016465595,-0.241189360950561,0.122507241816865
--> |  r,0.795206744419564,0.742036529084635,0.609487091904863,0.179219209368605,0.225288506766589,0.0584906644632092,-0.277731260507828,-0.681950279608419,-0.0240679036527096,-0.0409510551603276,-0.541588984313423,-1.32410374216217,0.345238774121542,0.473774436821107,0.134528716209282,-0.335417526776995
<-- | rr,0.199180713077742,0.674329763458044,1.00256055602037,0.948336062212886,-0.00850048538001206,0.488330417846184,0.69233815323183,0.680966816755054,-0.555951396705888,-0.0430929261654981,0.305277485236766,0.460281395701686,-1.47137693845348,-0.807388278836205,-0.448656442154019,-0.124444633980398
<- | rr,0.73326307800571,0.379844665055719,0.689175972510909,0.937002419854786,0.328705919978093,0.145193198885746,0.491958039447382,0.760731882031834,-0.00920477315735886,-0.301247855197885,-0.0308136921985914,0.388259313650552,-0.96428738822821,-1.37328829073653,-0.753631621449367,-0.160321402356079
-> | rr,1.06610697219397,0.539291427788373,0.358173057779307,0.625325366196946,0.683343805038316,0.361103002241689,0.169258997917035,0.427657954470825,0.293577378577251,-0.124814644675121,-0.427826664721318,0.0385130270894277,-0.296423194522194,-0.819776253995694,-1.29131195454922,-0.793080143158083
--> | rr,0.918239903234068,0.861451222051003,0.558533156609061,0.318825880304711,0.707462374971217,0.680424555996288,0.515688239182655,0.132836647177224,0.397175552236151,0.307430880530371,0.124178937260743,-0.500702061050007,-0.194218272047641,-0.341546391789393,-0.788597192240408,-1.46419284694107
